bts;nearest;distance
Rubbio;Valrovina;2340.176263776202
Carmignano di Brenta;Cittadella;6568.1414958062
Carona;Valgussera;1896.3429279305346
Caronia;San Fratello;13541.420965889472
Lunano;Paganico;2584.3513265586353
Paganico;Lunano;2584.3513265586353
Carpegna;Monte Carpegna;3708.7600065026672
Cavriana;Volta Mantovana;5344.383842824014
Carpenedolo Centro;Carpenedolo;2224.311613200679
Carpignano Sesia;Fara Novarese;4109.562978939054
Isella;Grignasco;2398.352076774555
Cameriano Est;Granozzo CS;4544.3619968129715
Carpineti;Casina Est;5096.674596279384
Monte Fosola;Castelnovo POP;2994.018139024741
Rosano;Castelnovo POP;4665.883640689626
Carpinone;Monte Gallo Fontegreca;17551.9183842265
Carpi Sud;Carpi;1264.2253089467554
Mirandola;Moglia;12603.244628736187
Tombara Tecchioni;Montignoso;2050.9711326821393
Capriglia di Pietrasanta;Stazzema la Porta;3808.905950500446
Castello di Carro;San Nicolao;4066.3663461151027
San Nicolao;Castello di Carro;4066.3663461151027
Carrù;Benevagienna;5204.9976049859915
Benevagienna;Salmour;4086.3202542258805
Monte Rustico;Farigliano;1138.1850722929082
Mondovi centro;Fiamenga;5951.8360242531235
Dogliani cascina vescovo;Monte Rustico;4837.605332621917
Castellino Tanaro;Ceva;6107.714741447198
Bonvicino;Bossolasco;4312.271740970019
Monte Calvario (CN);Roccaforte Mondovi;1671.860745567665
Carsoli;Pereto;6477.041714317014
Tufo Alto;Carsoli;6485.753395121481
Cerro Del Ruccolo;Casacalenda;3668.8214920681685
Casacalenda;Cerro Del Ruccolo;3668.8214920681685
Casalbore;Piano Pantano;11592.753536912562
Apice;Paduli;5907.129251741546
Casalborgone;Albugnano Galata;3949.824101007326
Casalbuono;Montesano;6400.081177128765
Olmeneta;Robecco Oglio;4883.29187540933
Paderno Ponchielli;Casalmorano;5875.187092181291
Castelverde;Olmeneta;5592.310710577912
Casale di Scodosia;Montagnana;4199.9424018560685
Casale Monferrato Centro;Casale Monferrato;3853.2400800246146
Casale Monferrato;Ozzano Monferrato;2774.415148141472
Stroppiana;Asigliano Vercellese;4848.3205672515405
Mirabello;Fubine;7966.497072078257
Camino Monferrato;Trino Vercellese;6430.304282015268
Sartirana Lomellina nord;Valle Lomellina;3597.8659552576023
Casale sul Sile;Casier;6019.512450406564
Venezia Nord;Mogliano Veneto;4086.489534937186
Castel del Rio;Valmaggiore;5743.927690679879
Tomba BO;Castel del Rio;6652.959668922576
Valmaggiore;Ca Rondino;4707.248531472047
Oggioli;Monghidoro;623.9303371584041
Casalmaggiore;Casalmaggiore Torre;1732.580532702463
Martignana;Casalmaggiore Torre;3818.2240707264464
Sabbioneta;Commessaggio;2839.545303252419
Trigolo;Castelleone;6629.568854552762
Collelungo;Mompeo;6256.792022101782
Mompeo;Castelnuovo di Farfa;2414.802140545265
Torrita Tiberina;Fiano Romano;8748.08554842442
San Giorgio della Richinvelda;Sedegliano Paese;8531.001897884842
Casarsa;Fiume Veneto;7929.017841683387
Casazza alta;Colli San Fermo;2565.5763591794966
Casciana Terme;Lari;5251.548101648512
Colle dAvendita;Avendita Cimitero;1164.570244406451
Avendita Cimitero;Colle dAvendita;1164.570244406451
Collesalvetti;Fauglia;6044.181685184377
Fauglia;Collesalvetti;6044.181685184377
Lari;Casciana Terme;5251.548101648512
Monte Bastione;Massarosa;5764.321179514042
Latignano;Agresto;4822.14809806122
Pontecurone;Viguzzolo;5188.869727186509
Monleale;Cadaborgo;2743.8355819916706
Godiasco;PozzolGroppo;4300.059587979076
Casei Gerola;Pontecurone;6342.373777820456
Casella Regiosci;Monte Maggio Colonia;3405.6775190906033
Varisella;Monte Turu;3865.461605323239
Alpignano;Givoletto;7004.153848665403
Torino Eremo;Moncalieri;3291.281986371345
Val della Torre;Rubiana;3235.595372682351
Moncalieri;Torino Eremo;3291.281986371345
Corio;Corio Sud;2142.473535237442
Caselle Torinese;Leinì;4676.063131164984
Leinì;Settimo Torinese;4207.902858297771
Casina;Casina Est;2896.437126324566
Casina Est;Casina;2896.437126324566
Casola in Lunigiana;Caugliano;4965.564751132749
Baffadi Lepida;Baffadi;464.60906121573305
Baffadi;Baffadi Lepida;464.60906121573305
Casola Valsenio;Ca Rondino;2928.8231533022517
Zattaglia Rai;Casola Valsenio;3578.779543427736
Casoli Cimitero;Palombaro;3895.6272836276576
Palombaro;Casoli Cimitero;3895.6272836276576
Cassano Allo Ionio;Frascineto;6861.699492633298
Spezzano Albanese;Tarsia;5142.605117443087
Moggio;Piani di Bobbio;3496.786773206799
Piani di Bobbio;Zucco Angelone;2464.215465245512
Zucco Angelone;Pasturo;1034.1433002355338
Prasco;Molare;4138.8948863140695
Cassine;Maranzana;4297.129058787799
Cassino POP;Cassino Sud;2812.9753086551204
Cassino Sud;Cassino POP;2812.9753086551204
Cassino Est;Portella FR;3642.89145847459
Piedimonte;Aquino;5488.349347122147
Vallemaio;San Giorgio a Liri;5085.548612613763
San Vittore del Lazio;Cassino Est;5493.397305057254
Cassino Nord;Portella FR;5975.841395442749
Portella FR;Cassino Est;3642.89145847459
Frecciarossa;Santa Giuletta;4665.240514380537
San Benedetto Po;Bagnolo San Vito;7389.819679146883
Roverbella;Castiglione Mantovano;2342.469871482333
Ostiglia;Revere;2455.7795811471215
Castel dArio;Calcinaro;6213.339033407424
Castel Di Iudica;Raddusa;9440.671855032964
Ancarano;Madonna della Carità;2327.134467251668
Castel Focognano;Corsalone;4978.181694297294
Carpenedolo;Carpenedolo Centro;2224.311613200679
Calvisano;Isorella;5866.179795813906
Castel Goffredo;Ceresara;7771.06955863225
Strigno;Pradellano;4399.46659714817
Taburno;Montesarchio Bonea;4466.18886630294
Castel Morrone;San Michele Maddaloni;6808.193407403367
Santa Maria della Versa Est;Seguzzone;5659.514988323977
Miradolo Terme;San Colombano al Lambro ;2416.929265816917
Belgioioso;Portalbera;7044.886849351771
Castel San Pietro;Palestrina;2974.060589247188
Rocca Priora;Monte Compatri;3463.116993223641
Monte Compatri;Frascati;2969.6012820993437
Palestrina;Castel San Pietro;2974.060589247188
San Martino in Pedriolo;Gagliarda;3292.379936426247
Osteria grande;Castel San Pietro Terme (BO);5620.294949439941
Castel San Pietro Terme (BO);San Martino in Pedriolo;4675.202835684049
Monte Soratte;Civita Castellana Alta;8691.520838824812
Morlupo;Capena Nord;4418.62957349608
Castel Santelia;Civita Castellana Alta;5401.724861513144
Castel Vittorio;Bajardo Municipio;4475.420611514116
Veravo;Vesallo Palestra;531.3000078192608
Vesallo Palestra;Veravo;531.3000078192608
Alto;Nasino Borgo;2051.222660229921
Senatello;Casteldelci;4620.468678430732
Monte Benedetto;Monte Ercole;1441.2236202097881
Casteldelci;Senatello;4620.468678430732
Monte La Frascara;Tuororame;4180.11613484182
Castelforte;Castelforte San Lorenzo;4425.785553961222
Castelforte San Lorenzo;Castelforte;4425.785553961222
Monte Schiavi;Trissino;2688.730625723489
Arzignano;Chiampo;3302.9614001936384
Monte di Malo;Muzzolon;2575.2848903396707
Muzzolon;Monte di Malo;2575.2848903396707
Agugliana;Gambellara;2808.6916565929964
Calvarina;Chiampo;4094.7591491249964
Trissino;Monte Schiavi;2688.730625723489
Castellafiume;Cappadocia;2727.8877755956864
Cappadocia;Castellafiume;2727.8877755956864
Bignone EIT;Pian della Castagna;2643.775492046645
Castellaro;Arma di Taggia;2873.634747866333
Cartosio;Castelletto DErro;3197.010783493723
Ponzone;Cartosio;3507.9139095386004
Mombaldone;Perletto;7003.027986473533
Bric Berton;Cima Ferle;5359.057454335689
Mango;Bric Avene;4132.26664446512
Pontinvrea Tecnotel;Mioglia;4805.210107324803
San Cristoforo;Castelletto dOrba;2125.2424535413106
Castelletto dOrba;San Cristoforo;2125.2424535413106
Conca Tesino;Tezze;6043.0993821179945
Molina di Fiemme;Cavalese;3427.126437239152
Castelluccio Superiore;Lauria;13426.557175640703
Castelmassa;Sermide;2435.1009442234567
Salara;Ficarolo;5742.513754675999
Bergantino;Melara;3811.1886693326082
Poggio Rusco;Revere;8733.420134317776
Bondeno;Ficarolo;7947.34749329659
Castelmauro;Monte Farano;12406.541307663378
Larino;Cerro Del Ruccolo;9112.719143209484
Monte Paese;Monte Fosola;4633.660222577784
Monte Duro;Prediera;1643.3508489610513
Sparavalle;Castelnovo POP;4857.102934994353
Lupazzano;Monte Pigo;4489.677385042745
Cerrè Sologno;Ligonchio;5867.337265017182
Ligonchio;Cerrè Sologno;5867.337265017182
Cerreto Laghi;Succiso Nuovo;7739.809718417548
Castelnovo POP;Monte Fosola;2994.018139024741
Vetto D'Enza;Ramiseto;4690.651296098721
Castelnuovo di Farfa;Mompeo;2414.802140545265
Perpoli;Molazzana;4090.307633063507
Castelnuovo Val di Cecina;Montecerboli;4174.316964223684
Mensano;Tegoia;11892.669901924466
Castelnuovo Don Bosco;Albugnano Galata;4594.449980641161
Castelrotto;Fiè allo Sciliar;6445.887113567902
Corno del Renon;Prati di Sarentino;6205.185164561838
Lu Bagnu;Castelsardo;3525.509240601318
Trinità e Vignola;Badesi;4631.802075693679
Castelsardo;Lu Bagnu;3525.509240601318
Castelveccana_campo sportivo;Porto Valtravaglia;916.9971357824367
Rocca di Calde;Castelveccana_campo sportivo;1265.1926377091463
Castelveccana;Castelveccana_campo sportivo;1638.956873798881
Pollino RAI;Sasso Corbe;2042.9525186524138
VeddoMaccagno;Campagnano;842.8953161286614
Baveno;Levo;2733.8919358232392
Porto Valtravaglia;Castelveccana_campo sportivo;916.9971357824367
Madonna di Puianello;Ospitaletto di Marano;4324.089739354282
La Torre;Spilamberto;5402.248552493757
Cremona TLC;Cremona Centro;1301.5900568081915
Acquanegra Cremonese;Crotta dAdda;3224.870887508814
Castelvetro Piacentino;Cremona Centro;5144.517781518994
Ghedi;Calvisano;5903.051080257996
Montichiari 2;Montichiari;1539.64831412513
Capriano del Colle;Azzano Mella;3049.0643993390745
Monte Quarone BS;Barche di Ome;2947.521735733265
Maclodio;Bargnano;4344.784548435964
Castenedolo;Mazzano;5654.38807038304
Roncobilaccio;Bruscoli;1754.0054658669067
Monte Armato;Cedrecchia;4190.177978584721
Bruscoli;Roncobilaccio;1754.0054658669067
Casina Rossa;Perpoli;8724.821142760282
Castiglione Di Sicilia;Motta Camastra;4703.984187468945
Motta Camastra;Castiglione Di Sicilia;4703.984187468945
Castiglione Donaudi;Baldissero Torinese;5995.792419602276
Lequio Berria;Castino;4230.652101944941
Perletto;Castino;4510.276668939362
Todocco;Bric Cobare;5301.264477884551
Castino;Lequio Berria;4230.652101944941
Castione Andevenno;Triangia;2934.8726862468375
Falecchio;Clusone;4033.087330977363
Bondo;Gorno;1387.8821675016893
Bratto;Falecchio;6921.454403149274
Chiaromonte;Castronuovo di SantAndrea;6053.82297436493
Castronuovo di SantAndrea;Chiaromonte;6053.82297436493
Castrovillari;Morano Calabro;3129.274161553715
Frascineto;Castrovillari;5345.5461305425915
Catania Monte Catira;Valverde San Gregorio;2014.4186199030498
Telegrafovecchio;San Giovanni Galermo;5728.530394570747
Nicolosi Vulcano;San Pietro Clarenza;4192.8187030436475
Valverde San Gregorio;Catania Monte Catira;2014.4186199030498
Etna;Monte Gorna;9188.7260162751
San Giovanni Galermo;San Pietro Clarenza;3037.952622539303
San Pietro Clarenza;San Giovanni Galermo;3037.952622539303
Catanzaro Siano;Sellia Marina;10054.942730891258
Catanzaro Marina;Sellia Marina;10751.841610539763
Gasperina;Montepaone;3816.0228087895625
Monteluro;Cattolica;6230.369230393335
Saludecio;Morciano POP;5878.370922120147
San Clemente Agorà;Morciano POP;1478.5342904105644
Riccione San Fortunato;Rimini;4712.028992612692
Rimini;Riccione San Fortunato;4712.028992612692
Cattolica;Monteluro;6230.369230393335
Livorno Ferraris;Moncrivello;8113.402399058761
Cavaglia;Alice Castello;4506.489871494248
Alice Castello;Cavaglia;4506.489871494248
Cavaglietto;Suno;3089.287518075269
Momo;Barengo;3732.248281560905
Cavallirio;Romagnano Sesia;2925.1869761199096
Romagnano Sesia;Cavallirio;2925.1869761199096
Rovasenda;Castelletto Cervo;6434.505377852075
Divignano;Varallo Pombia;1095.7960383560142
Arborio;Carpignano Sesia;5306.396871191248
Cesclans;Oncedis;4333.460806630565
Strabut;Verzegnis;4756.708378936315
Cavenago di Brianza;Ornago;2829.626382792045
Lissone EI;CiniselloBalsamo;4299.729079283074
Seregno Centro;Giussano;5592.522173585646
Ornago;Cavenago di Brianza;2829.626382792045
Peller;Malè;1427.7992386218853
Bolentina;Malè;2278.119753468198
Bibarino;San Giovanni Valdarno Centro;5033.086570609917
Montrago;Reggello;5531.626724279879
Malandrone;Rosignano;3551.699826301124
Rosignano;Malandrone;3551.699826301124
Marina di Cecina;Malandrone;9073.643028226828
Cefalu Quattrocchi;Cefalu Santa Barbara;2200.0374287180275
Cefalu Santa Barbara;Cefalu Quattrocchi;2200.0374287180275
Cefalu Monte;Lascari;3435.6046955360484
Lascari;Cefalu Monte;3435.6046955360484
Fucino;Avezzano;11942.048998727087
Celle Ligure;Vineau;3562.3045204064497
Cellino Attanasio;Montegiove;4688.366184335202
Bellante;Castellalto;7408.815171986545
Cellio;Rastiglione;1891.4684688078614
Cencenighe;Monte Celentone;2831.3684042462914
Centuripe;Centuripe Gelofia;1758.6212276958724
Centuripe Gelofia;Centuripe;1758.6212276958724
Teste;Bannio;5354.064025436651
Ca di Bruzzi;Gaiazza;1239.8517386981164
Gaiazza;Ca di Bruzzi;1239.8517386981164
Lencisa;Monte Figogna;1227.7303312293013
Sciorba;Mignanego;1636.8775169835233
Monte Leco;Mignanego;5748.636986723016
Valleregia;Mignanego;2656.993520909515
Monte Fasce;Bogliasco;3792.2216699734217
Cerda;Aliminusa;4514.309397476385
Aliminusa;Cerda;4514.309397476385
Ceriana;Bignone EIT;3515.491478498144
Cariseto;Selva Cerignale;637.3104739600182
Cattaragna;Selva Cerignale;2967.9101033888437
Cerignale;Cariseto;4082.343690433447
Falchetto;Brunate Eroi;1812.222240766989
Cernobbio;Monte Bisbino;2902.3554229970605
Poggio San Romualdo;Albacina;3574.384155604652
Monte San Vicino;Poggio San Romualdo;4060.1862002635676
San Silvestro;Cancelli;5202.109105549853
Cucco;Vallina;3544.405150076069
Albacina;Poggio San Romualdo;3574.384155604652
Borgo Cerreto;Montaglioni;7810.524077158963
Cerreto Sannita;Guardia Sanframondi;3774.6424492561623
Castel Campagnano;Caiazzo;4860.859745885967
Monte Acero;San Salvatore Telesino;1750.8140430318772
Grezzana;Rosaro;2397.822385410755
Velo Veronese;Badia Calavena;4051.3157224126126
Cerro Veronese;Rosaro;4116.724687301773
Cervatto;Alpe Res;1929.673319268844
Alpe Res;Fobello;1445.6675586784825
Fobello;Alpe Res;1445.6675586784825
Ceri;Quartaccio;3001.820825297175
Quartaccio;Ceri;3001.820825297175
Sagnalonga;La Coche;1964.4138124969659
Cervia;Cesenatico;5879.9122939221
Gambettola;Calisese;3179.642811868269
Bellaria;Cesenatico;9483.317444673516
Villaggio Baviera;San Martino in Converseto;2368.551839051249
Calisese;Gambettola;3179.642811868269
Borello di Cesena;Borgo Paglia;2851.471299933692
Borgo Paglia;Borello di Cesena;2851.471299933692
Cessalto;San Stino di Livenza;5451.050159603301
Cetona;San Casciano dei Bagni;8337.055111586587
Ceva;Malpotremo;3863.3917698652863
Malpotremo;Priero;3687.377879209473
Pian del Bal;Viola;3184.0456318506067
Grand Rosier;Pialemont;2491.256724019379
Chardonney;Grand Rosier;3623.127597554911
Chatillon;Verthuy;4663.4549916375645
Salirod;Fiusey;3886.0698711913974
Verthuy;Chatillon;4663.4549916375645
Chiampo;Arzignano;3302.9614001936384
Monte Pereta;Montepulciano SUD;5774.761701495709
Litardo;Moiano;4903.797125165724
Viggianello;Castelluccio Superiore;13691.093460818496
Colobraro;Tursi;6776.9260738108915
Chiavari Corso Millo;Curlo;2254.649077274931
Portofino Castello Brown;Villa Torre;4668.126861809536
Villa Torre;Portofino;3145.028697252868
Chiavenna;Cigolino;2350.0163859368454
Cigolino;Chiavenna;2350.0163859368454
Sorico;Caino;2995.3160320948205
Albugnano Galata;Casalborgone;3949.824101007326
Montafia;Monale;6832.012086031532
Pralormo;Montà ;5913.15234877398
Riva Chieri;Andezeno;5178.394933788092
Chies;Monte Dolada;4544.656025401208
Primolo;Alpe Palù;2440.2740639288595
Alpe Palù;Primolo;2440.2740639288595
Lanzada;Alpe Palù;3013.9432703738103
Sottomarina;Boscochiaro;13980.91491581802
Azzano Decimo;Azzano Paese;2489.3322588835063
Villotta Industriale;Villotta;3379.5142583199618
Azzano Paese;Azzano Decimo;2489.3322588835063
Chiuppano;Cogollo del Cengio;3411.328150958964
Cogollo del Cengio;Chiuppano;3411.328150958964
Malanotte;Roccaforte Mondovi;8704.172119490446
Chiusa di Pesio;Roccaforte Mondovi;4694.679999621982
Colle San Bartolomeo;Torria;3565.754137049066
Pontedassio;Diano Arentino;2737.0334174161403
Capo Berta Imperia;Bardellini;3047.1887572440046
Villareggia;Moncrivello;1905.5456920933993
Chivasso Acquedotto;Chivasso RAI;4931.824406329253
Ciampino;Frascati;5908.590657085904
Cianciana;San Biagio Platani;9563.5035641444
Coreglia Ligure;Montallegro;2468.8491438587675
Cilavegna;Gravellona Lomellina;2519.656635061321
Terdobbiate;Tornaco;2798.7000326247107
Novara Brambati;Novara Grattacielo;4040.893100884988
San Giorgio di Lomellina;Ottobiano Cimitero;3313.5994367464473
Novara Grattacielo;Novara Pirenei;733.3455703311424
Novara Pirenei;Novara Grattacielo;733.3455703311424
Borgolavezzaro;Cilavegna;3625.8656671395165
Ciminna;Baucina;4758.209260004389
Cimolais;Claut;2831.414475160137
Claut;Cellino;1786.5869338800169
Castiglioncello Bandini;Montelaterone;5568.0904265736
CiniselloBalsamo;Lissone EI;4299.729079283074
Milano Stephenson;Milano Silva;3814.2308489627053
Milano Breda;Milano Silva;4125.721312132764
Milano Silva;Milano Stephenson;3814.2308489627053
Cinisi;Punta Raisi;2943.3097663450067
Serra;Cinisi;3884.228647427059
Monte Gallo Fontegreca;Pratella;6103.159163005778
Pratella;Monte Gallo Fontegreca;6103.159163005778
Cipressa;Costarainera;1518.6806938544835
Cirimido;Lurago Marinone Acquedotto;2368.728394773221
Turate;Mozzate NORD;4274.250424004509
Origgio;Pogliano Milanese;5550.354856984007
Legnano ;Castellanza;3143.5819297290545
Lurago Marinone Acquedotto;Cirimido;2368.728394773221
Cisliano;Settimo Milanese Tetto;4399.866902143304
Ossona;Arluno;3733.9365078437595
Cison di Valmarino;Revine;6146.263595220418
Monte Barbaria;Pianezze;1498.7623184743502
Moiano;Litardo;4903.797125165724
Casa Petraia;Ghironzo;4198.306432546471
Ghironzo;Casa Petraia;4198.306432546471
CittÃ  di Castello;CittÃ  di Castello Nord;2719.4508852446734
Monte Arnato;CittÃ  di Castello;3331.677769596297
CittÃ  di Castello Nord;CittÃ  di Castello;2719.4508852446734
Ranzu;Ghironzo;4419.553439082465
San Lorenzo Bibbiena;Ranzu;4827.172952272467
Umbertide Bastiola;Montecalaboccia;3983.6429983666176
Mercatale Nord;Castel Rigone;2409.322451696473
Castel Rigone;Mercatale Nord;2409.322451696473
Tombolo;Cittadella;4270.723028217973
Cittadella;Tombolo;4270.723028217973
Cesalunga;Calcariola Castello;3245.2006627391847
Cittàducale;Rieti;2501.9921828158685
Calcarone;Rieti;4991.89318849853
Rieti;Cittàducale;2501.9921828158685
Trimezzo;Coronella;5070.450138897921
Purgessimo;San Leonardo INSIEL;3405.8703926562875
Premariacco;Premariacco Centro;1682.1130801058493
Pedrosa;Torreano;4369.027775257691
Cividale del Friuli;Torreano;3310.7255836161585
Premariacco Centro;Premariacco;1682.1130801058493
Martinengo;Romano di Lombardia;4534.624343897386
Cividate al Piano;Cividate Nord;2891.268063340666
Cividate Nord;Pontoglio;1183.7005060505385
Pontoglio;Cividate Nord;1183.7005060505385
Civita Castellana Alta;Castel Santelia;5401.724861513144
Fontespina;Porto Potenza Picena Cimitero;4766.510550313085
Sant'Elpidio;Vallasciano;7171.0681478435945
Porto Potenza Picena Cimitero;Potenza Picena;4589.771717739765
Poggio Paradiso PoP;Santa Marinella;5475.6052266672405
Santa Marinella;Santa Marinella A12;1139.5727130967107
Monte Grosso;Galeata;2790.0681789938344
Galeata;Monte Grosso;2790.0681789938344
Civitella di Romagna;Monte Grosso;4610.7116701371615
Cellino;Claut;1786.5869338800169
Claut2;Claut;3639.6065132663134
La Coche;Sagnalonga;1964.4138124969659
Mezzogoro;Jolanda;11943.151760943452
Jolanda;Tresigallo;9627.461785356803
Mareno di Piave;Santa Maria del Piave;4042.303392438928
San Michele di Piave;Santa Maria del Piave;4429.793488749109
Meduna di Livenza;Pasiano di Pordenone;2944.591849137137
Fregona;Col Gajardin;4653.866082436574
Madonna della Salute;Vittorio Veneto;2430.1104785626676
Codognè;Fontanelle;2500.6517640295438
Fontanelle;Lutrano;2153.508034821135
Bibano;Orsago Sud;2212.9952793233433
San Vendemiano;San Vendemiano Z.I.;3407.2407050780566
Piacenza Nord;Corno Giovine;6663.978681084842
Pizzighettone;San Bassano;5716.945361009299
Bertonico;Mairago;5584.763711439334
Codroipo;Camino al Tagliamento;1961.935564097699
Coggiola;Pray;1495.064423449091
Pray;Coggiola;1495.064423449091
Cogliate;Lentate sul Seveso Nord;4349.917548123442
Lentate sul Seveso Nord;Cogliate;4349.917548123442
Gimillan-Cogne;Couis;5584.144078683046
Sciarborasca;Cogoleto;1424.4817549665074
Cogoleto;Sciarborasca;1424.4817549665074
POP Colico;Colico;3047.4272994639578
Caino;Sorico;2995.3160320948205
Sommafiume;Pratolungo;3421.084645290795
Brenzio (Stazzona);Musso;3336.630705971258
Musso;Brenzio (Stazzona);3336.630705971258
Colico;POP Colico;3047.4272994639578
Albonico;Verceia;3192.6495720567063
Cino;Verceia;4385.240662366521
Parma Consorzio;Parma PO;3505.8800289145465
Parma PO;Parma Stadio;1731.4029969417127
Parma Fiera;Parma Consorzio;3668.849328421939
Fontanellato;Noceto;8756.50326424167
Valesi;Monte Desio;3533.4541266134456
Noceto;Collecchio;6726.889408347422
Collecchio;Sala Baganza;5338.283761357675
Parma Antognano;Parma PO;2540.0059887991642
Monticello;Ramiano;4890.6016204801845
Sala Baganza;Collecchio;5338.283761357675
Olevano Romano;Roiate;3701.7704410519164
San Vito Romano;Rocca di Cave;4872.190410596819
Colleferro;Segni;3544.7490247488954
Monte Cascetto;Monte Serra;948.0240469504804
Collio Memmo;Bovegno;4191.561493464789
Useunt;Tarcento;3168.797076860816
Monte Ragogna;Monte Ragogna 2;389.31756470085327
Monte Ragogna 2;Monte Ragogna;389.31756470085327
Monte Prat;Vito D'Asio;3748.31631710296
Porzus;Attimis INSIEL;3568.4427053263576
Colloredo;Monte Di Buja;3718.303719007959
Gambellara;Agugliana;2808.6916565929964
San Giovanni in Monte;Villabalzana;2945.1615045218277
Cologna Veneta;Pressana;4062.2427423502168
Santa Maria di Zevio;Vago di Lavagno;5300.6296995998255
Caldiero;Soave;4128.878330945381
Illasi;Monte Mirabello;5002.682104006639
Vago di Lavagno;Caldiero;4585.93071515698
Drezzo;Olgiate Comasco;4303.236050460125
Ternate;Comabbio Campanile;1428.291494304647
Gemonio;San Clemente;2910.545737345855
San Clemente;Laveno;2079.0185707383243
Comabbio Campanile;Comabbio;144.1722524193352
Comabbio;Comabbio Campanile;144.1722524193352
Mercallo;Vergiate;2491.31724205522
Collinara;Lido di Pomposa;4421.155488852819
Gorino;Goro;5019.479382870935
Lido di Pomposa;Collinara;4421.155488852819
Comano;Castel Madruzzo;5626.835251506631
Rivarolo del Re;Sabbioneta;5159.773775291744
Guastalla;Boretto;7728.375492704786
Commessaggio;Sabbioneta;2839.545303252419
Breccia;Monte Croce (CO);1662.9647094597512
Sindacale;La Salute di Livenza;6491.698737298581
La Salute di Livenza;San Giorgio di Livenza;1978.736602630575
SantAntonino di Susa;Borgone Gandoglio;2907.711204133303
Fais;Borgo Maren;1933.0703455518055
San Vendemiano Z.I.;San Vendemiano;3407.2407050780566
Conselve;Agna;8836.965217819165
Contrada;Forino Celzi;2360.148782140992
Forino;Forino Celzi;1145.2798076032457
Monte Malbe;Trinità;1225.545273623988
Cenerente;Monte Malbe;4503.622769186107
Coreglia;Montefegatesi;5855.867533433686
Arcevia Cimitero S.Pietro;Arcevia Palazzo;3887.010760279923
Monterubbio;Pergola;4064.075970834952
Corinaldo ZI;Arceviese;2568.407448369765
Arceviese;Corinaldo ZI;2568.407448369765
Corio Sud;Corio;2142.473535237442
Cori;Cori Sud;1808.000366996402
Cisterna di Latina;Cori Sud;8520.414462848168
Cori Sud;Cori;1808.000366996402
Brogliano;Monte Schiavi;3372.840919804581
Cirone;Maestà di Graiana;7229.307348630825
Maestà di Graiana;Cirone;7229.307348630825
Corno Giovine;Pizzighettone;6112.879360643465
Montello Nord;Montello Sud;1626.2501020406414
Pianezze;Monte Barbaria;1498.7623184743502
Crocetta;Mercato Vecchio;3360.137449908724
Vidor;Moriago della battaglia;3576.360344882753
Maser;Mercato Vecchio;3549.8326018922007
Pederiva;Montebelluna;2254.1704889875155
Sforzacosta;Macerata Cimitero;5350.424338674829
Macerata Cimitero;Macerata Centro;2276.4931378150486
Corridonia;Castellano;3283.9338618312513
Monte San Pietrangeli;Colle Sagrini;2866.8660739034603
La Colonnetta;Santa Maria Maddalena;4183.548275919907
Vallasciano;Montesecco;5756.28237942435
Castellano;Corridonia;3283.9338618312513
Molzano;Porlezza;2480.045145532095
Porlezza;Molzano;2480.045145532095
Naggio;Naggio2;1055.3770796484007
Bene Lario;Naggio2;2042.5573641488886
Claino Comune;Verna;1299.2537162445237
Paullo;Bene Lario;2967.369859440521
Verna;Claino Comune;1299.2537162445237
Alba Adriatica;Colle di Marzio;6782.744395572813
Corropoli;Mosciano SantAngelo;6201.915812160537
Cortemaggiore;Polignano;4066.261830331186
Pocol;Passo Giau;6532.046391811439
Monte Rite;Col Alto;1299.1805900597858
Cunetta;Colle Spinato;5741.705371540199
Colle Spinato;Macchiatornella;3651.47334133634
Macchiatornella;Colle Spinato;3651.47334133634
Montecalaboccia;Umbertide Bastiola;3983.6429983666176
Cortona;Cortona Stadio;5387.1309217026865
Terontola;Cortona Stadio;6870.967785329985
Cortona Stadio;Cortona;5387.1309217026865
Col Alto in Badia;Corvara in Badia;1577.3684029298017
Corvara in Badia;Col Alto in Badia;1577.3684029298017
Bargnano;Dello;4065.0598976819338
Orzivecchi;Bargnano;5083.104788483266
Berlingo;Travagliato;2952.8396739350683
Lappano;Cosenza;5214.104379895633
Rose;Luzzi;3905.8428697379777
Casetta Del Principe;Luzzi;3754.3225523601154
Cosenza;Lappano;5214.104379895633
Sasso Corbe;Pollino RAI;2042.9525186524138
Cossogno;Cambiasca;3976.7356877959355
Cheremule;Torralba;4564.465357044374
Torralba;Cheremule;4564.465357044374
Cossoine;Giave;4733.424408874836
Giave;Cossoine;4733.424408874836
Courmayeur;Col Checrouit;2098.7631312481712
Col Checrouit;Courmayeur;2098.7631312481712
Pavillon du Mont Frety;Courmayeur;4179.121557314126
Colle San Carlo;Pre Saint Didier Chenoz;2536.8943149174042
Brugaro;Cimatun;3686.4199495743233
Cimatun;Brugaro;3686.4199495743233
Monte Quarone VC;Varallo;3510.192734026165
Offanengo;Romanengo;3182.4584455565528
Castelleone;Montodine;2942.8823848538277
Bonemerse;Cremona TLC;4284.312837609902
Gadesco;Vescovato;5350.549607678014
Vescovato;Gadesco;5350.549607678014
Crescentino;Livorno Ferraris;9978.89077652814
Moncrivello;Villareggia;1905.5456920933993
Maggiora;Vergano;2562.0735507376994
Crocefieschi;Vallemara;1845.7542956289547
Vobbia;Vobbia Loc.Torre;1157.1842797375891
